Date,Close/Last,Volume,Open,High,Low
2/09/2016,$126.51,12074470,$126.85,$126.86,$126.00
1/09/2016,$126.17,13522260,$126.38,$126.63,$125.60
31/08/2016,$126.12,14183190,$125.60,$126.22,$125.10
30/08/2016,$125.84,17778300,$126.60,$126.60,$125.15
29/08/2016,$126.54,15901270,$124.35,$126.73,$124.35
26/08/2016,$124.96,17467840,$124.05,$125.19,$123.91
25/08/2016,$123.89,10720680,$123.12,$124.37,$123.10
24/08/2016,$123.48,12226720,$124.47,$124.69,$123.09
23/08/2016,$124.37,13302050,$124.51,$125.09,$124.25
22/08/2016,$124.15,14377070,$123.33,$124.83,$123.11
19/08/2016,$123.56,11582430,$123.60,$124.16,$123.28
18/08/2016,$123.91,12378280,$124.01,$124.26,$123.64
17/08/2016,$124.37,13759700,$123.66,$124.38,$122.85
16/08/2016,$123.30,14209580,$123.50,$123.92,$122.78
15/08/2016,$123.90,19280400,$124.91,$124.92,$123.70
12/08/2016,$124.88,12146150,$124.70,$125.00,$124.18
11/08/2016,$124.90,11708610,$125.20,$125.38,$124.75
10/08/2016,$124.88,10645370,$125.07,$125.48,$124.54
9/08/2016,$125.06,19587330,$125.34,$126.09,$124.53
8/08/2016,$125.26,15216950,$125.25,$125.45,$124.55
5/08/2016,$125.15,20144810,$124.98,$125.84,$124.62
4/08/2016,$124.36,21052200,$122.94,$124.79,$122.51
3/08/2016,$122.51,18479970,$123.09,$123.92,$122.31
2/08/2016,$123.09,23919790,$124.06,$124.80,$122.07
1/08/2016,$124.31,24986020,$123.85,$124.58,$122.86
29/07/2016,$123.94,34943890,$124.65,$125.84,$123.71
28/07/2016,$125.00,78673980,$127.52,$128.33,$123.63
27/07/2016,$123.34,50218420,$122.42,$125.00,$121.51
26/07/2016,$121.22,17417060,$122.00,$122.07,$120.75
25/07/2016,$121.63,18453230,$121.39,$121.85,$117.78
22/07/2016,$121.00,18363590,$119.90,$121.01,$119.31
21/07/2016,$120.61,17787630,$121.92,$122.10,$120.25
20/07/2016,$121.92,19991920,$121.25,$122.20,$120.56
19/07/2016,$120.61,21502910,$118.99,$120.85,$118.66
18/07/2016,$119.37,20816900,$117.32,$119.61,$116.89
15/07/2016,$116.86,16601530,$117.74,$118.28,$116.58
14/07/2016,$117.29,14554060,$117.50,$117.64,$116.70
13/07/2016,$116.78,16180680,$118.39,$118.40,$116.68
12/07/2016,$117.93,15084590,$118.63,$118.72,$117.57
11/07/2016,$117.87,17613670,$117.71,$118.70,$117.50
8/07/2016,$117.24,18117330,$116.43,$117.50,$115.85
7/07/2016,$115.85,16612350,$116.63,$116.97,$115.36
6/07/2016,$116.70,24318520,$113.36,$116.79,$112.97
5/07/2016,$114.00,14206220,$113.94,$114.11,$112.97
1/07/2016,$114.19,14955080,$114.20,$115.13,$113.81
30/06/2016,$114.28,23159510,$114.67,$115.18,$113.67
29/06/2016,$114.16,20935530,$113.37,$114.25,$113.04
28/06/2016,$112.70,26772900,$110.63,$112.75,$110.55
27/06/2016,$108.97,36172810,$111.57,$111.57,$108.23
24/06/2016,$112.08,40555840,$111.01,$113.68,$111.00
23/06/2016,$115.08,16096460,$114.37,$115.09,$113.54
22/06/2016,$113.91,14811570,$114.65,$114.74,$113.61
21/06/2016,$114.38,18997270,$114.12,$115.21,$113.97
20/06/2016,$113.37,20746500,$113.77,$114.72,$112.75
17/06/2016,$113.02,24410770,$114.42,$114.43,$112.56
16/06/2016,$114.39,19207560,$113.87,$114.50,$112.94
15/06/2016,$114.60,19789270,$115.30,$115.44,$114.07
14/06/2016,$114.94,17573960,$114.07,$114.95,$113.58
13/06/2016,$113.95,31675970,$115.00,$115.48,$113.31
10/06/2016,$116.62,18474380,$117.54,$118.11,$116.26
9/06/2016,$118.56,13842230,$118.13,$118.68,$117.71
8/06/2016,$118.39,14493990,$117.76,$118.60,$117.27
7/06/2016,$117.76,17069990,$119.24,$119.30,$117.67
6/06/2016,$118.79,12721610,$118.62,$119.43,$118.36
3/06/2016,$118.47,14115480,$118.98,$118.98,$117.86
2/06/2016,$118.93,13216260,$118.69,$119.44,$118.22
1/06/2016,$118.78,15003570,$118.50,$119.08,$117.82
31/05/2016,$118.81,23526050,$119.46,$120.10,$118.12
27/05/2016,$119.38,13476050,$119.56,$119.85,$119.01
26/05/2016,$119.47,18437640,$118.24,$119.76,$117.92
25/05/2016,$117.89,20026150,$118.13,$118.67,$117.38
24/05/2016,$117.70,20156400,$116.24,$117.73,$116.12
23/05/2016,$115.97,20409860,$117.42,$117.60,$115.94
20/05/2016,$117.35,18893950,$116.96,$117.99,$116.95
19/05/2016,$116.81,20510770,$117.05,$117.49,$115.88
18/05/2016,$117.65,21596120,$116.80,$118.27,$116.73
17/05/2016,$117.35,21296660,$118.82,$119.01,$117.20
16/05/2016,$118.67,31188070,$119.38,$119.61,$117.35
13/05/2016,$119.81,18077540,$120.38,$120.64,$119.68
12/05/2016,$120.28,21649010,$119.98,$120.84,$118.90
11/05/2016,$119.52,21976560,$120.41,$121.08,$119.42
10/05/2016,$120.50,23127390,$119.62,$120.50,$119.00
9/05/2016,$119.24,21097310,$119.54,$120.28,$118.90
6/05/2016,$119.49,26362480,$117.16,$119.64,$117.11
5/05/2016,$117.81,22032830,$118.04,$118.98,$117.25
4/05/2016,$118.06,23414270,$116.61,$118.30,$116.57
3/05/2016,$117.43,24087870,$117.52,$118.16,$117.02
2/05/2016,$118.57,27789510,$117.83,$118.73,$116.57
29/04/2016,$117.58,37106010,$116.82,$117.84,$115.84
28/04/2016,$116.73,86913390,$119.58,$120.79,$116.23
27/04/2016,$108.89,50504560,$107.94,$108.94,$106.31
26/04/2016,$108.76,22393840,$110.49,$110.50,$108.15
25/04/2016,$110.10,20997040,$109.87,$110.67,$109.07
22/04/2016,$110.56,38397070,$111.21,$111.75,$109.01
21/04/2016,$113.44,20711310,$112.55,$114.04,$112.31
20/04/2016,$112.42,21020820,$112.43,$113.27,$111.56
19/04/2016,$112.29,30177490,$111.10,$112.45,$109.16
18/04/2016,$110.45,21127750,$109.74,$110.81,$109.20
15/04/2016,$109.64,20793730,$110.79,$110.97,$109.20
14/04/2016,$110.84,28439970,$110.62,$112.04,$110.26
13/04/2016,$110.51,88165850,$112.23,$112.65,$106.52
12/04/2016,$110.61,26190250,$109.34,$111.16,$108.99
11/04/2016,$108.99,39707140,$110.70,$110.91,$108.77
8/04/2016,$110.63,48467350,$114.25,$114.33,$109.90
7/04/2016,$113.64,20683460,$113.79,$114.89,$113.07
6/04/2016,$113.71,20794390,$112.47,$113.81,$112.42
5/04/2016,$112.22,22779490,$112.11,$113.32,$111.90
4/04/2016,$112.55,48418260,$114.07,$114.55,$111.61
1/04/2016,$116.06,24751160,$113.75,$116.17,$113.35
31/03/2016,$114.10,21171030,$114.70,$115.01,$113.77
30/03/2016,$114.70,33196410,$116.73,$116.99,$114.36
29/03/2016,$116.14,29789720,$113.83,$116.32,$113.64
28/03/2016,$113.69,21332720,$113.32,$114.59,$112.95
24/03/2016,$113.05,17157540,$112.13,$113.09,$111.68
23/03/2016,$112.54,18546450,$112.01,$113.19,$112.00
22/03/2016,$112.25,18989920,$111.36,$112.88,$111.17
21/03/2016,$111.85,18430870,$111.66,$112.37,$111.03
18/03/2016,$111.45,36265530,$111.56,$112.42,$110.27
17/03/2016,$111.02,24215410,$112.15,$112.69,$110.73
16/03/2016,$112.18,24696190,$110.49,$112.50,$110.10
